,YouTube Channels,Subscribers/Views in millions,Type
0,T-Series,123.0,Subscribers
1,Canal KondZilla,54.5,Subscribers
2,Zee Music Company,48.5,Subscribers
3,Ed Sheeran ,43.2,Subscribers
4,EminemMusic ,40.2,Subscribers
5,Ariana Grande ,39.3,Subscribers
6,Taylor Swift,36.8,Subscribers
7,JustinBieberVEVO ,33.1,Subscribers
8, BLACKPINK,32.4,Subscribers
9,Alan Walker,31.7,Subscribers
10,Shemaroo Filmi Gaane,31.0,Subscribers
11,ibighit,30.9,Subscribers
12,One Direction,30.4,Subscribers
13,Wave Music ,30.4,Subscribers
14,Sony Music India ,29.9,Subscribers
15,El Reino Infantil,29.2,Subscribers
16,Maroon 5 ,29.2,Subscribers
17,Trap Nation,27.9,Subscribers
18,Speed Records,27.4,Subscribers
19,GR6 EXPLODE ,27.2,Subscribers
20,TaylorSwiftVEVO ,27.0,Subscribers
21,SonyMusicIndiaVEVO,27.0,Subscribers
22,Ozuna,27.0,Subscribers
23,Daddy Yankee,26.9,Subscribers
24,YRF,26.8,Subscribers
25,Spinnin' Records,26.4,Subscribers
26,Bruno Mars,26.3,Subscribers
27,RihannaVEVO ,25.9,Subscribers
28,T-Series Bhakti Sagar,25.8,Subscribers
29,KatyPerryVEVO,25.8,Subscribers
30,T-Series,94410.0,Views
31,Canal KondZilla,27860.0,Views
32,Zee Music Company,22689.0,Views
33,Ed Sheeran ,18905.0,Views
34,EminemMusic ,773.0,Views
35,Ariana Grande ,953.0,Views
36,Taylor Swift,310.0,Views
37,JustinBieberVEVO ,19326.0,Views
38, BLACKPINK,8112.0,Views
39,Alan Walker,7470.0,Views
40,Shemaroo Filmi Gaane,14708.0,Views
41,ibighit,7659.0,Views
42,One Direction,356.0,Views
43,Wave Music ,20569.0,Views
44,Sony Music India ,12077.0,Views
45,El Reino Infantil,26159.0,Views
46,Maroon 5 ,294.0,Views
47,Trap Nation,10195.0,Views
48,Speed Records,13769.0,Views
49,GR6 EXPLODE ,13341.0,Views
50,TaylorSwiftVEVO ,18096.0,Views
51,SonyMusicIndiaVEVO,12577.0,Views
52,Ozuna,13059.0,Views
53,Daddy Yankee,9796.0,Views
54,YRF,14253.0,Views
55,Spinnin' Records,15738.0,Views
56,Bruno Mars,11411.0,Views
57,RihannaVEVO ,14768.0,Views
58,T-Series Bhakti Sagar,10552.0,Views
59,KatyPerryVEVO,18603.0,Views
